Genre,Author,Title,Year
Romance/Erotic Romance,Joy Avery,A Bid on Forever,2019
Romance/Erotic Romance,Joy Avery,Forever with You & The Sweet Taste of Seduction,2019
Romance/Erotic Romance,Joy Avery,Then Came You & Written With Love,2019
Romance/Erotic Romance,Ola Awonubi,14 Days & Other Stories,2020
Romance/Erotic Romance,Xio Axelrod,When Frankie Meets Johnny,2021
Romance/Erotic Romance,Bolu Babalola,Honey & Spice,2022
Romance/Erotic Romance,Lacey Baker,Christmas in Evergreen: Bells Are Ringing,2021
Romance/Erotic Romance,Nyri Bakkalian,Grey Dawn: A Tale of Abolition and Union,2020
Romance/Erotic Romance,Cheryl Barton,Rescue Me,2019
Romance/Erotic Romance,Cheryl Barton,True Lies or True Love,2019
Romance/Erotic Romance,Cheryl Barton,She Said No,2019
Romance/Erotic Romance,Cheryl Barton,Swagger and Baggage,2019
Romance/Erotic Romance,Cheryl Barton,Release Me,2019
Romance/Erotic Romance,Cheryl Barton,Dashing Through the Snow,2019
Romance/Erotic Romance,Cheryl Barton,Claiming His Child,2019
Romance/Erotic Romance,Cheryl Barton,Always Bet on Black,2020
Romance/Erotic Romance,Diksha Basu,Destination Wedding,2020
Romance/Erotic Romance,Therese Beharrie,Second Chance with Her Billionaire,2019
Romance/Erotic Romance,Therese Beharrie,From Heiress to Mom,2019
Romance/Erotic Romance,Therese Beharrie,Island Fling with the Tycoon,2019
Romance/Erotic Romance,Therese Beharrie,Her Twin Baby Secret,2020
Romance/Erotic Romance,Therese Beharrie,One Last Chance,2020
Romance/Erotic Romance,Therese Beharrie,Marrying His Runaway Heiress,2020
Romance/Erotic Romance,Therese Beharrie,His Princess by Christmas,2020
Romance/Erotic Romance,Millie Belizaire,When Worlds Collide,2018
Romance/Erotic Romance,Millie Belizaire,When Hearts Collide,2018
Romance/Erotic Romance,Millie Belizaire,When Souls Collide,2018
Romance/Erotic Romance,Millie Belizaire,Holiday Surprise,2018
Romance/Erotic Romance,Millie Belizaire,The Garden of Eden,2019
Romance/Erotic Romance,Alexandria Bellefleur,Written in the Stars,2020
Romance/Erotic Romance,Alexandria Bellefleur,Hang the Moon,2021
Romance/Erotic Romance,Alexandria Bellefleur,Count Your Lucky Stars,2022
Romance/Erotic Romance,Love Belvin,He Who is a Friend,2018
Romance/Erotic Romance,Love Belvin,He Who is a Lover,2019
Romance/Erotic Romance,Love Belvin,He Who is a Protector,2019
Romance/Erotic Romance,Anisha Bhatia,The Rules of Arrangement,2021
Romance/Erotic Romance,Maggie Blackbird,Blessed,2018
Romance/Erotic Romance,Maggie Blackbird,Redeemed,2019
Romance/Erotic Romance,Maggie Blackbird,Sanctified,2019
Romance/Erotic Romance,Maggie Blackbird,Tied Up With a Bow,2019
Romance/Erotic Romance,Maggie Blackbird,Thanks to You,2019
Romance/Erotic Romance,Maggie Blackbird,Renewed,2020
Romance/Erotic Romance,Maggie Blackbird,Dressed for Success,2020
Romance/Erotic Romance,Maggie Blackbird,After the Snow Melts,2020
Romance/Erotic Romance,Maya Blake,The Greek’s Hidden Vows,2021
Romance/Erotic Romance,Melissa Blue,Gridiron Bad Boy,2018
Romance/Erotic Romance,Melissa Blue,Gridiron Heartbreaker,2018
Romance/Erotic Romance,Melissa Blue,Dirty Sexy Scot,2108
Romance/Erotic Romance,Melissa Blue,Grumpy Jake,2019
Romance/Erotic Romance,Crystal B. Bright,Crazy in Love,2017
Romance/Erotic Romance,Crystal B. Bright,Love Like Crazy,2018
Romance/Erotic Romance,Crystal B. Bright,Crazy on You,2019
Romance/Erotic Romance,Nita Brooks,Redesigning Happiness,2019
Romance/Erotic Romance,Nita Brooks,The Essence of Perfection,2020
Romance/Erotic Romance,Chavez L. Brown,Nice Guys Don’t Finish Last,2013
Romance/Erotic Romance,Laura Brown,A Perfect Mistake,2019
Romance/Erotic Romance,Niobia Bryant,"Madam, May I",2019
Romance/Erotic Romance,Niobia Bryant,Strong Loving,2019
Romance/Erotic Romance,Niobia Bryant,Christmas with the Billionaire/A Tiara for Christmas,2019
Romance/Erotic Romance,Denny Bryce,Wild Women and the Blues,2021
Romance/Erotic Romance,Nathan Burgoine,Faux Ho Ho,2019
Romance/Erotic Romance,Anna Burke,Spindrift,2020
Romance/Erotic Romance,Anna Burke,Night Tide,2021
Romance/Erotic Romance,Jessica Cage,No Love for the Wicked,2020
Romance/Erotic Romance,Kelly Cain,An Acquired Taste,2021
Romance/Erotic Romance,J.L. Campbell,The Heart of Things,2019
Romance/Erotic Romance,J.L. Campbell,Forever Mine,2019
Romance/Erotic Romance,J.L. Campbell,The Blind Shot,2019
Romance/Erotic Romance,J.L. Campbell,Kings of the Castle,2019
Romance/Erotic Romance,J.L. Campbell,The Pain of Things,2020
Romance/Erotic Romance,J.L. Campbell,DNA,2020
Romance/Erotic Romance,J.L. Campbell,Knight of Paradise Island,2020
Romance/Erotic Romance,G.S. Carr,The Cost of Hope,2018
Romance/Erotic Romance,G.S. Carr,The Cost of Atonement,2018
Romance/Erotic Romance,G.S. Carr,The Cost of Rebellion,2019
Romance/Erotic Romance,G.S. Carr,Lady of Secrets,2020
Romance/Erotic Romance,G.S. Carr,Deena’s Deception,2020
Romance/Erotic Romance,G.S. Carr,Lady of Disguise,
Romance/Erotic Romance,Rebel Carter,Heart and Hand,2019
Romance/Erotic Romance,Rebel Carter,Natasha,2019
Romance/Erotic Romance,Rebel Carter,New Girl in Town,2019
Romance/Erotic Romance,Rebel Carter,Ashley,2019
Romance/Erotic Romance,Rebel Carter,Love and Gravity,2019
Romance/Erotic Romance,Rebel Carter,Hearth and Home,2019
Romance/Erotic Romance,Rebel Carter,Honor and Desire,2020
Romance/Erotic Romance,Rebel Carter,Three to Love,2020
Romance/Erotic Romance,Rebel Carter,Leather and Lace,2020
Romance/Erotic Romance,Rebel Carter,New Girl in the City,2020
Romance/Erotic Romance,Rebel Carter,Enemies to Lovers v. 1,2021
Romance/Erotic Romance,Rebel Carter,Pride and Passion,2021
Romance/Erotic Romance,Zoey Castile,Stripped,2018
Romance/Erotic Romance,Zoey Castile,Hired,2019
Romance/Erotic Romance,Zoey Castile,Flashed,2019
Romance/Erotic Romance,Celeste Castro,Homecoming,2017
Romance/Erotic Romance,Celeste Castro,Prize Money,2021
Romance/Erotic Romance,Austin Chant,Caroline’s Heart,2017
Romance/Erotic Romance,Jeevani Charika,Christmas at the Palace,2019
Romance/Erotic Romance,Jeevani Charika,This Stolen Life,2019
Romance/Erotic Romance,Jeevani Charika,A Convenient Marriage,2019
Romance/Erotic Romance,Andie J. Christopher,Not the Girl You Marry,2019
Romance/Erotic Romance,Andie J. Christopher,Not that Kind of Guy,2020
Romance/Erotic Romance,Andie J. Christopher,Hot Under His Collar,2021
Romance/Erotic Romance,Ann Christopher,Everything I Need,2018
Romance/Erotic Romance,Ann Christopher,Everything I Hoped For,2018
Romance/Erotic Romance,Ann Christopher,All of Me,2019
Romance/Erotic Romance,Ann Christopher,Somebody to Love,2019
Romance/Erotic Romance,Mikaella Clements and Onjuli Datta,The View Was Exhausting,2021
Romance/Erotic Romance,Alyssa Cole,A Princess in Theory,2018
Romance/Erotic Romance,Alyssa Cole,A Duke By Default,2018
Romance/Erotic Romance,Alyssa Cole,"Once Ghosted, Twice Shy",2019
Romance/Erotic Romance,Alyssa Cole,An Unconditional Freedom,2019
Romance/Erotic Romance,Alyssa Cole,Can’t Escape Love,2019
Romance/Erotic Romance,Alyssa Cole,A Prince on Paper,2019
Romance/Erotic Romance,Alyssa Cole,The A.I. Who Loved Me,2019
Romance/Erotic Romance,Alyssa Cole,How to Catch a Queen,2020
Romance/Erotic Romance,Alyssa Cole,How to Find a Princess,2021
Romance/Erotic Romance,Claudia Connor,Worth it All,2016
Romance/Erotic Romance,Sharon C. Cooper,Accused,2018
Romance/Erotic Romance,Sharon C. Cooper,Soul’s Desire,2019
Romance/Erotic Romance,Sharon C. Cooper,Betrayed,2020
Romance/Erotic Romance,Sharon C. Cooper,More Than Love,2020
Romance/Erotic Romance,Sharon C. Cooper,Show Me,2020
Romance/Erotic Romance,Sharon C. Cooper,Hunted,2021
Romance/Erotic Romance,Sharon C. Cooper,His to Protect,2021
Romance/Erotic Romance,Zoraida Córdova,Life on the Level,2016
Romance/Erotic Romance,Joe Cosentino,Finding Giorgio,2020
Romance/Erotic Romance,Joe Cosentino,Finding Armando,2020
Romance/Erotic Romance,Robin Covington,Seducing His Secret Wife,2021
Romance/Erotic Romance,Rebecca Crowley,Insider,2019
Romance/Erotic Romance,Rebecca Crowley,Undercover,2019
Romance/Erotic Romance,Rebecca Crowley,Off the Record,2020
Romance/Erotic Romance,Maggie Cummings,Brooklyn Summer,2020
Romance/Erotic Romance,Alexis Daria,Take the Lead,2017
Romance/Erotic Romance,Alexis Daria,Dance with Me,2017
Romance/Erotic Romance,Alexis Daria,Dance All Night,2018
Romance/Erotic Romance,Alexis Daria,You Had Me at Hola,2020
Romance/Erotic Romance,Alexis Daria,A Lot Like Adiós,2021
Romance/Erotic Romance,Nanisi Barrett D'Arnuk,In Helen’s Hands,2020
Romance/Erotic Romance,Eliza David,The Follow,2017
Romance/Erotic Romance,Eliza David,The Follow 2: Blocked,2018
Romance/Erotic Romance,Eliza David,The Lamar St. Jon Experience,2019
Romance/Erotic Romance,E. Davies,Hard Hart,2019
Romance/Erotic Romance,E. Davies,Changed Hart,2019
Romance/Erotic Romance,E. Davies,Redemption,2019
Romance/Erotic Romance,E. Davies,Wild Hart,2019
Romance/Erotic Romance,Felicia Davin,Edge of Nowhere,2018
Romance/Erotic Romance,Felicia Davin,Thornfruit,2018
Romance/Erotic Romance,Felicia Davin,Nightvine,2018
Romance/Erotic Romance,Felicia Davin,Shadebloom,2018
Romance/Erotic Romance,Felicia Davin,Out of Nowhere,2019
Romance/Erotic Romance,Shay Davis,Stay a Little Longer,2020
Romance/Erotic Romance,Shay Davis,Stay Forever,2020
Romance/Erotic Romance,Shay Davis,Just Wanna Be Loved,2020
Romance/Erotic Romance,Shay Davis,A Dash of Christmas Magic,2020
Romance/Erotic Romance,Shay Davis,The Marriage Contract,2021
Romance/Erotic Romance,Shay Davis,Just Wanna Be Loved Too,2021
Romance/Erotic Romance,Shay Davis,Love After,2021
Romance/Erotic Romance,Zuri Day,Sin City Vows,2019
Romance/Erotic Romance,Zuri Day,Sweet Heat,2019
Romance/Erotic Romance,Zuri Day,Ready for the Rancher,2019
Romance/Erotic Romance,Zuri Day,Sin City Seduction,2020
Romance/Erotic Romance,Liana De La Rosa,To Love a Scandalous Duke,2017
Romance/Erotic Romance,Liana De La Rosa,To Resist a Scandalous Rogue,2019
Romance/Erotic Romance,Liana De La Rosa,To Tame a Scandalous Lady,2019
Romance/Erotic Romance,Kari Lynn Dell,Mistletoe in Texas,2018
Romance/Erotic Romance,Kari Lynn Dell,Last Chance Rodeo,2019
Romance/Erotic Romance,Kari Lynn Dell,Relentless in Texas,2020
Romance/Erotic Romance,Chiquita Dennie,Temptation,2019
Romance/Erotic Romance,Chiquita Dennie,I Deserve His Love,2020
Romance/Erotic Romance,Sara Desai,The Marriage Game,2020
Romance/Erotic Romance,Sara Desai,The Dating Plan,2021
Romance/Erotic Romance,Sara Desai,The Singles Table,2021
Romance/Erotic Romance,Sonali Dev,"Pride, Prejudice, and Other Flavors",2019
Romance/Erotic Romance,Sonali Dev,A Recipe for Persuasion,2020
Romance/Erotic Romance,Sonali Dev,Incense and Sensibility,2021
Romance/Erotic Romance,Delaney Diamond,Princess of Zamibia,2018
Romance/Erotic Romance,Delaney Diamond,Heart’s Desire,2019
Romance/Erotic Romance,Delaney Diamond,Two Nights in Paris,2019
Romance/Erotic Romance,Delaney Diamond,Deeper Than Love,2019
Romance/Erotic Romance,Delaney Diamond,Without You,2019
Romance/Erotic Romance,Delaney Diamond,Princess of Estoria,2019
Romance/Erotic Romance,Delaney Diamond,Never Again,2020
Romance/Erotic Romance,Delaney Diamond,Queen of Barrakesch,2020
Romance/Erotic Romance,De’nesha Diamond,Conspiracy,2016
Romance/Erotic Romance,De’nesha Diamond,Collusion,2018
Romance/Erotic Romance,De’nesha Diamond,Collateral,2020
Romance/Erotic Romance,Pema Donyo,Revolutionary Hearts,2015
Romance/Erotic Romance,Piper J. Drake,Fierce Justice,2019
Romance/Erotic Romance,Piper J. Drake,Keeping Cadence,2019
Romance/Erotic Romance,Piper J. Drake,Forever Strong,2020
Romance/Erotic Romance,Piper J. Drake,Gaming Grace,2020
Romance/Erotic Romance,Lucy Eden,Everything’s Better with You,2018
Romance/Erotic Romance,Lucy Eden,Cherishing the Goddess,2018
Romance/Erotic Romance,Lucy Eden,An Angel for Daddy,2019
Romance/Erotic Romance,Lucy Eden,Everything’s Better with Kimberly,2019
Romance/Erotic Romance,Lucy Eden,Afternoon Delight,2019
Romance/Erotic Romance,Lucy Eden,Everything’s Better with Lisa,2019
Romance/Erotic Romance,Lucy Eden,Bear With Me,2019
Romance/Erotic Romance,Lucy Eden,Resolutions,2019
Romance/Erotic Romance,Chelsie Edwards,Upsy Daisy,2020
Romance/Erotic Romance,Carolyn Elizabeth,The Other Side of Forestlands Lake,2020
Romance/Erotic Romance,Jayce Ellis,The Carpenter’s Prince,2019
Romance/Erotic Romance,Jayce Ellis,Jeremiah,2020
Romance/Erotic Romance,Jayce Ellis,André,2020
Romance/Erotic Romance,Shelly Ellis,On Pointe,2018
Romance/Erotic Romance,Shelly Ellis,Her New Groove,2018
Romance/Erotic Romance,Shelly Ellis,Love Grind,2019
Romance/Erotic Romance,Eros,Whipped,2021
Romance/Erotic Romance,Mina V. Esguerra,What Kind of Day,2018
Romance/Erotic Romance,Mina V. Esguerra,Kiss and Cry,2019
Romance/Erotic Romance,Nicole Falls,Switched at Bid,2019
Romance/Erotic Romance,Nicole Falls,A Natural Transition,2019
Romance/Erotic Romance,Nicole Falls,Shots Not Taken,2019
Romance/Erotic Romance,Nicole Falls,Someone Seeking Someone Else,2019
Romance/Erotic Romance,Nicole Falls,The Changeup,2019
Romance/Erotic Romance,Nicole Falls,A Merry Little Filthmas,2019
Romance/Erotic Romance,Nicole Falls,The Restart,2020
Romance/Erotic Romance,Nicole Falls,A Dirty Valentine,2020
Romance/Erotic Romance,Nicole Falls,A Good Luck F*ck,2020
Romance/Erotic Romance,Nicole Falls,Love Under Quarantine,2020
Romance/Erotic Romance,Nicole Falls,Release Some Tension,2020
Romance/Erotic Romance,Tia Fielding,Like Breathing,2018
Romance/Erotic Romance,Tia Fielding,Ten,2019
Romance/Erotic Romance,Tia Fielding,Four,2019
Romance/Erotic Romance,Nia Forrester,Silent Nights,2020
Romance/Erotic Romance,Nia Forrester,Not That Kind of Girl,2020
Romance/Erotic Romance,Sionna Fox,Bound To,2018
Romance/Erotic Romance,Sionna Fox,Tied Up,2018
Romance/Erotic Romance,Jen Frederick,Heart and Seoul,2021
Romance/Erotic Romance,Ava Freeman,Four Letter Word,2019
Romance/Erotic Romance,Ava Freeman,Fire We Make,2019
Romance/Erotic Romance,Ava Freeman,Belong to You,2019
Romance/Erotic Romance,Ava Freeman,Friends & Lovers,2020
Romance/Erotic Romance,Ava Freeman,Four Letter Word 2,2020
Romance/Erotic Romance,Ava Freeman,A Taste of Remy,2020
Romance/Erotic Romance,Ava Freeman,Friends & Lovers 2,2020
Romance/Erotic Romance,Ava Freeman,Friends & Lovers 3,2020
Romance/Erotic Romance,Savannah Frierson,Be Mine,2019
Romance/Erotic Romance,Savannah Frierson,Grounded for Christmas,2019
Romance/Erotic Romance,Jimi Gaillard-Jefferson,Tony and LeAndra: Complete Series,2019
Romance/Erotic Romance,Jimi Gaillard-Jefferson,Friends to Lovers: Complete Cassidy and Cahir Series,2020
Romance/Erotic Romance,Francis Gideon,Hopeless Romantic,2016
Romance/Erotic Romance,Tina Glasneck,Charming Like a Wolf,2020
Romance/Erotic Romance,Seressia Glass,The Love Con,2021
Romance/Erotic Romance,Shira Glassman,"Knit One, Girl Two",2018
Romance/Erotic Romance,Shira Glassman,Gifts of Spring,2020
Romance/Erotic Romance,Nadine Gonzalez,Exclusively Yours,2018
Romance/Erotic Romance,Nadine Gonzalez,Unconditionally Mine,2018
Romance/Erotic Romance,Nadine Gonzalez,Scandal in the VIP Suite,2020
Romance/Erotic Romance,Nadine Gonzalez,What Happens in Miami…,2021
Romance/Erotic Romance,Elysabeth Grace,Fate’s Match,2018
Romance/Erotic Romance,Elysabeth Grace,Your Heart Only,2019
Romance/Erotic Romance,Elysabeth Grace,Fate’s Kiss,
Romance/Erotic Romance,Mimi Grace,Along for the Ride,2019
Romance/Erotic Romance,Mimi Grace,Make a Scene,2020
Romance/Erotic Romance,Sherelle Green,The Contingency Bid,2019
Romance/Erotic Romance,Sherelle Green,Her Christmas Wish/Designed by Love,2019
Romance/Erotic Romance,Sherelle Green,Black Friday: High Life Short Story,2019
Romance/Erotic Romance,Sherelle Green,Her Undeniable Attraction,2020
Romance/Erotic Romance,Sherelle Green,Caden’s Situationship,2020
Romance/Erotic Romance,Sherelle Green,Summer Kisses: Carnivale Chronicles,2020
Romance/Erotic Romance,Sherelle Green,Carter’s Undoing,2020
Romance/Erotic Romance,Sherelle Green,Yours Ever After,2020
Romance/Erotic Romance,Sheree L. Greer,A Return to Arms,2016
Romance/Erotic Romance,Andrew Grey,Fire and Obsidian,2019
Romance/Erotic Romance,Andrew Grey,On Shaky Ground,2019
Romance/Erotic Romance,Andrew Grey,Survive and Conquer,2019
Romance/Erotic Romance,Andrew Grey,Heartward,2019
Romance/Erotic Romance,Andrew Grey,Pulling Strings,2019
Romance/Erotic Romance,Andrew Grey,Fire and Onyx,2020
Romance/Erotic Romance,Andrew Grey,Above and Beyond,2020
Romance/Erotic Romance,Andrew Grey,Catch of a Lifetime,2020
Romance/Erotic Romance,Andrew Grey,Hard Road Back,2020
Romance/Erotic Romance,Andrew Grey,Fire and Diamond,2020
Romance/Erotic Romance,Andrew Grey,Paint By Number,2020
Romance/Erotic Romance,Andrew Grey,Bad to Be Good,2020
Romance/Erotic Romance,Andrew Grey,Half a Cowboy,2020
Romance/Erotic Romance,Andrew Grey,Bad to Be Worthy,2021
Romance/Erotic Romance,A.M. Griffin,The Game Warden’s Mate,2019
Romance/Erotic Romance,A.M. Griffin,Hunted by the Alien Prince,2019
Romance/Erotic Romance,A.M. Griffin,The Alien King’s Desire,2019
Romance/Erotic Romance,Felicia Grossman,Appetites & Vices,2019
Romance/Erotic Romance,Felicia Grossman,Dalliances & Devotion,2019
Romance/Erotic Romance,Jasmine Guillory,The Wedding Date,2018
Romance/Erotic Romance,Jasmine Guillory,The Proposal,2018
Romance/Erotic Romance,Jasmine Guillory,The Wedding Party,2019
Romance/Erotic Romance,Jasmine Guillory,Royal Holiday,2019
Romance/Erotic Romance,Jasmine Guillory,Party of Two,2020
Romance/Erotic Romance,Jasmine Guillory,While We Were Dating,2021
Romance/Erotic Romance,Prachi Gupta,Can’t Help Falling in Love,2018
Romance/Erotic Romance,Prachi Gupta,Not My Type of Stranger,2019
Romance/Erotic Romance,Carla de Guzman,Chasing Mindy,2018
Romance/Erotic Romance,Carla de Guzman,How She Likes It,2018
Romance/Erotic Romance,Alexis Hall,How to Blow it With a Billionaire,2017
Romance/Erotic Romance,Alexis Hall,How to Belong With a Billionaire,2019
Romance/Erotic Romance,Alexis Hall,Boyfriend Material,2020
Romance/Erotic Romance,Alexis Hall,Rosaline Palmer Takes the Cake,2021
Romance/Erotic Romance,Alexis Hall,The Duke Who Loved Me,2021
Romance/Erotic Romance,Jack Harbon,Unwrap Me,2018
Romance/Erotic Romance,Jack Harbon,The Babysitter,2019
Romance/Erotic Romance,Jack Harbon,Kitten,2019
Romance/Erotic Romance,Jack Harbon,Daddy,2019
Romance/Erotic Romance,Tasha L. Harrison,The Truth of Things,2017
Romance/Erotic Romance,Tasha L. Harrison,A Taste of Her Own Medicine,2019
Romance/Erotic Romance,Tasha L. Harrison,The Bad in Each Other,2020
Romance/Erotic Romance,Lena Hart,Her Seductive Dare,2019
Romance/Erotic Romance,Jordan L. Hawk,Hexhunter,2019
Romance/Erotic Romance,Jordan L. Hawk,Stalker of Shadows,2019
Romance/Erotic Romance,Jordan L. Hawk,Deosil,2019
Romance/Erotic Romance,Farah Heron,The Chai Factor,2019
Romance/Erotic Romance,Farah Heron,Accidentally Engaged,2021
Romance/Erotic Romance,Adriana Herrera,American Dreamer,2019
Romance/Erotic Romance,Adriana Herrera,American Fairytale,2019
Romance/Erotic Romance,Adriana Herrera,American Love Story,2019
Romance/Erotic Romance,Adriana Herrera,Mangos and Mistletoe,2019
Romance/Erotic Romance,Adriana Herrera,American Sweethearts,2020
Romance/Erotic Romance,Adriana Herrera,Finding Joy,2020
Romance/Erotic Romance,Adriana Herrera,Here to Stay,2020
Romance/Erotic Romance,Adriana Herrera,American Christmas,2020
Romance/Erotic Romance,Talia Hibbert,Mating the Huntress,2018
Romance/Erotic Romance,Talia Hibbert,A Girl Like Her,2018
Romance/Erotic Romance,Talia Hibbert,Untouchable,2018
Romance/Erotic Romance,Talia Hibbert,That Kind of Guy,2019
Romance/Erotic Romance,Talia Hibbert,Work for It,2019
Romance/Erotic Romance,Talia Hibbert,"Get a Life, Chloe Brown",2019
Romance/Erotic Romance,Talia Hibbert,"Take a Hint, Dani Brown",2020
Romance/Erotic Romance,Talia Hibbert,"Act Your Age, Eve Brown",2021
Romance/Erotic Romance,Chencia C. Higgins,Benefriends,2019
Romance/Erotic Romance,Chencia C. Higgins,Loud and Lew’d: A Libidinous Novelette,2020
Romance/Erotic Romance,Chencia C. Higgins,Holiday Honey,2020
Romance/Erotic Romance,Chencia C. Higgins,Glasses,2020
Romance/Erotic Romance,Chencia C. Higgins,Love on the Luminous,2020
Romance/Erotic Romance,Chencia C. Higgins,Fast Breaker,2020
Romance/Erotic Romance,Chencia C. Higgins,An Illicit Seduction,2020
Romance/Erotic Romance,Chencia C. Higgins,Things Hoped For,2020
Romance/Erotic Romance,Chencia C. Higgins,Consolation Gifts,2020
Romance/Erotic Romance,Chencia C. Higgins,Beyond Benefriends,2021
Romance/Erotic Romance,Chencia C. Higgins,D'Vaughn and Kris Plan a Wedding,2022
Romance/Erotic Romance,Lauren Ho,Last Tang Standing,2020
Romance/Erotic Romance,Helen Hoang,The Kiss Quotient,2018
Romance/Erotic Romance,Helen Hoang,The Bride Test,2019
Romance/Erotic Romance,Helen Hoang,The Heart Principle,2021
Romance/Erotic Romance,Cheris Hodges,Tempted at Midnight,2019
Romance/Erotic Romance,Cheris Hodges,Owner of a Broken Heart,2020
Romance/Erotic Romance,Cheris Hodges,Won’t Go Home Without You,2021
Romance/Erotic Romance,Jacqueline J. Holness,Destination Wedding,2019
Romance/Erotic Romance,Mia Hopkins,Thirsty,2018
Romance/Erotic Romance,Mia Hopkins,Trashed,2019
Romance/Erotic Romance,Alexandria House,Should’ve Been: A Short Story,2019
Romance/Erotic Romance,Alexandria House,Set: A Novella,2019
Romance/Erotic Romance,Alexandria House,All I Want: A Christmas Short,2019
Romance/Erotic Romance,Alexandria House,"New Year, New Boo?: A Holiday Short",2019
Romance/Erotic Romance,Alexandria House,Jah: A Novella,2020
Romance/Erotic Romance,Alexandria House,Teach Me,2020
Romance/Erotic Romance,Alexandria House,Shu: A Novella,2020
Romance/Erotic Romance,Alexandria House,the love deluxe mixtape,2020
Romance/Erotic Romance,Alexandria House,The Holiday Shorts: A Collection,2020
Romance/Erotic Romance,Amalie Howard,Sweet Home Highlander,2018
Romance/Erotic Romance,Amalie Howard,A Lord for the Lass,2018
Romance/Erotic Romance,Amalie Howard,What a Scot Wants,2019
Romance/Erotic Romance,Amalie Howard,The Beast of Beswick,2019
